nome;codigo_barras;categoria;preco;estoque;estoque_minimo;tipo;unidade
SINVASTATINA 10MG;7898096578236;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 10MG;7898216366286;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 10MG;7899620910997;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 10MG;7899620911598;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7891721012884;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7891721028458;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7894916140812;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7894916206860;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7895296244060;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7895296449274;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004704470;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004710761;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004710792;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004739489;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004783420;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004783468;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004783475;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004783673;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896004783680;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896112401384;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896181913061;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896241228142;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896472502820;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896472511808;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896523201290;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896523206660;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7896523215235;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7897595601773;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7897595609854;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7897595632548;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7897851250530;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7898060138114;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7898075314022;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7898096578243;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7898216366309;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7899095249059;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7899095254947;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 20MG;7899620911031;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7891721016165;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7891721028472;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7894916141215;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7894916206877;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7895296294027;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7895296449281;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004711126;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004711188;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004736884;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004737171;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004783437;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004783505;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004783512;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004783529;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004783536;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004783703;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004783710;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896004783727;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896112401377;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896181913115;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896181913627;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896241285022;DISLIPIDEMIA;1,00;10;1;unidade;un
SINVASTATINA 40MG;7896472502936;DISLIPIDEMIA;1,00;10;1;unidade;un
